City,Source,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Durham,(direct),82,45,101,56.44%,1.75,0:02:06,0.00%,0,$0.00 ,20180812
Durham,myubc.org,73,40,90,21.11%,2.78,0:02:43,0.00%,0,$0.00 ,20180812
Durham,google,65,47,77,59.74%,1.83,0:03:32,0.00%,0,$0.00 ,20180812
Charlotte,google,22,7,32,62.50%,2.12,0:03:38,0.00%,0,$0.00 ,20180812
Charlotte,(direct),21,16,26,57.69%,2.15,0:04:43,0.00%,0,$0.00 ,20180812
Charlotte,myubc.org,12,5,19,31.58%,2.26,0:01:20,0.00%,0,$0.00 ,20180812
Atlanta,(direct),11,6,11,45.45%,2.45,0:06:12,0.00%,0,$0.00 ,20180812
Durham,bing,10,7,10,70.00%,2.1,0:03:20,0.00%,0,$0.00 ,20180812
Raleigh,google,9,5,10,70.00%,2,0:07:29,0.00%,0,$0.00 ,20180812
Raleigh,myubc.org,9,7,12,8.33%,5,0:07:17,0.00%,0,$0.00 ,20180812
Atlanta,google,8,5,8,87.50%,1.5,0:01:46,0.00%,0,$0.00 ,20180812
Raleigh,(direct),8,5,10,50.00%,1.8,0:06:43,0.00%,0,$0.00 ,20180812
Durham,yahoo,7,5,9,77.78%,2.11,0:06:20,0.00%,0,$0.00 ,20180812
Franklin,(direct),6,3,7,71.43%,1.86,0:02:36,0.00%,0,$0.00 ,20180812
Atlanta,myubc.org,4,3,7,14.29%,3.29,0:03:21,0.00%,0,$0.00 ,20180812
Durham,m.facebook.com,4,3,4,50.00%,1.5,0:00:22,0.00%,0,$0.00 ,20180812
Franklin,myubc.org,4,2,4,0.00%,3.5,0:03:05,0.00%,0,$0.00 ,20180812
Greensboro,(direct),4,3,4,75.00%,1.25,0:00:02,0.00%,0,$0.00 ,20180812
Hillsborough,myubc.org,4,2,4,25.00%,2.25,0:01:00,0.00%,0,$0.00 ,20180812
Chapel Hill,google,3,2,4,75.00%,1.5,0:08:24,0.00%,0,$0.00 ,20180812
Greensboro,myubc.org,3,1,4,50.00%,2.75,0:05:14,0.00%,0,$0.00 ,20180812
Hillsborough,google,3,3,4,75.00%,1.25,0:00:04,0.00%,0,$0.00 ,20180812
Rocky Mount,(direct),3,3,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Winston-Salem,google,3,2,3,33.33%,3,0:16:37,0.00%,0,$0.00 ,20180812
Washington,myubc.org,2,2,2,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180812
Miami,(direct),2,0,2,50.00%,3.5,0:17:15,0.00%,0,$0.00 ,20180812
Orlando,google,2,2,2,50.00%,2,0:00:07,0.00%,0,$0.00 ,20180812
Cary,(direct),2,2,2,50.00%,2.5,0:01:24,0.00%,0,$0.00 ,20180812
Cary,google,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Cary,myubc.org,2,1,2,0.00%,3,0:09:18,0.00%,0,$0.00 ,20180812
Creedmoor,myubc.org,2,1,3,0.00%,2.67,0:07:25,0.00%,0,$0.00 ,20180812
Fayetteville,(direct),2,2,2,0.00%,2.5,0:00:24,0.00%,0,$0.00 ,20180812
Franklin,google,2,2,2,50.00%,1.5,0:00:57,0.00%,0,$0.00 ,20180812
Greensboro,google,2,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Henderson,(direct),2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
High Point,myubc.org,2,2,2,0.00%,3,0:07:36,0.00%,0,$0.00 ,20180812
Knightdale,google,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Knightdale,myubc.org,2,1,2,0.00%,4,0:07:06,0.00%,0,$0.00 ,20180812
Sylva,(direct),2,1,2,50.00%,1.5,0:00:25,0.00%,0,$0.00 ,20180812
Winston-Salem,(direct),2,1,2,0.00%,4.5,0:04:33,0.00%,0,$0.00 ,20180812
New York,google,2,1,4,25.00%,1.75,0:07:23,0.00%,0,$0.00 ,20180812
New York,myubc.org,2,0,2,50.00%,2.5,0:00:44,0.00%,0,$0.00 ,20180812
(not set),google,1,0,1,0.00%,3,0:14:39,0.00%,0,$0.00 ,20180812
(not set),myubc.org,1,0,1,0.00%,3,0:04:04,0.00%,0,$0.00 ,20180812
Indore,google,1,1,1,0.00%,5,0:08:24,0.00%,0,$0.00 ,20180812
Buena Park,(direct),1,1,1,0.00%,5,0:05:52,0.00%,0,$0.00 ,20180812
Buena Park,myubc.org,1,0,1,0.00%,6,0:05:57,0.00%,0,$0.00 ,20180812
Corona,myubc.org,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180812
San Diego,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Washington,(direct),1,1,1,0.00%,11,0:55:04,0.00%,0,$0.00 ,20180812
Clayton,myubc.org,1,0,1,0.00%,6,0:28:21,0.00%,0,$0.00 ,20180812
Fort Lauderdale,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Miami,google,1,1,2,0.00%,5.5,0:16:14,0.00%,0,$0.00 ,20180812
Miami,myubc.org,1,0,2,50.00%,2,0:00:17,0.00%,0,$0.00 ,20180812
Orlando,(direct),1,1,1,0.00%,2,0:16:00,0.00%,0,$0.00 ,20180812
Orlando,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Oviedo,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Tallahassee,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Atlanta,us.search.yahoo.com,1,1,1,0.00%,3,0:04:49,0.00%,0,$0.00 ,20180812
Macon,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Macon,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Marietta,myubc.org,1,0,1,0.00%,4,0:25:04,0.00%,0,$0.00 ,20180812
Riverdale,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Woodstock,myubc.org,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180812
Vandalia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Overland Park,myubc.org,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180812
Slidell,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Billerica,bing,1,1,2,50.00%,3,0:00:29,0.00%,0,$0.00 ,20180812
Billerica,myubc.org,1,0,1,0.00%,2,0:00:32,0.00%,0,$0.00 ,20180812
Easton,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Hyattsville,(direct),1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180812
Andrews,(direct),1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Black Mountain,yahoo,1,1,1,0.00%,2,0:07:05,0.00%,0,$0.00 ,20180812
Carrboro,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Cary,com.google.android.googlequicksearchbox,1,0,2,0.00%,3,0:01:33,0.00%,0,$0.00 ,20180812
Cashiers,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Chapel Hill,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Chapel Hill,myubc.org,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Charlotte,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Charlotte,lookup.t-mobile.com,1,0,1,0.00%,17,0:19:25,0.00%,0,$0.00 ,20180812
Marine Corps Air Station Cherry Point,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Concord,(direct),1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180812
Concord,myubc.org,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180812
Cullowhee,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Durham,ask,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Durham,facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Durham,searchencrypt.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Efland,myubc.org,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Fayetteville,google,1,0,3,33.33%,2.33,0:07:03,0.00%,0,$0.00 ,20180812
Fayetteville,myubc.org,1,1,2,0.00%,3,0:09:45,0.00%,0,$0.00 ,20180812
Franklin,bing,1,0,4,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Franklinton,myubc.org,1,1,1,0.00%,2,0:00:19,0.00%,0,$0.00 ,20180812
Graham,google,1,0,1,0.00%,3,0:01:47,0.00%,0,$0.00 ,20180812
Graham,myubc.org,1,0,1,0.00%,2,0:00:43,0.00%,0,$0.00 ,20180812
Greensboro,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Greensboro,yahoo,1,1,1,0.00%,6,0:03:21,0.00%,0,$0.00 ,20180812
Hayesville,google,1,1,2,50.00%,3,0:16:18,0.00%,0,$0.00 ,20180812
Henderson,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
High Point,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
High Point,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Hillsborough,(direct),1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
